vendor,name,price,grasa,calorias,kJ,sal,carbohidratos,proteinas,url
Carrefour,Cerveza Mahou Mixta Shandy con limón pack de 12 latas de 33 cl.,8.85,0 g,29 Kcal,124 KJ,0.02 g,6.0 g,0 g,https://www.carrefour.es/supermercado/cerveza-mahou-mixta-shandy-con-limon-pack-de-12-latas-de-33-cl/R-521010549/p
Carrefour,Filetes de bacalao congelados Dimar 400 g.,7.55,1.5 g,62 Kcal,260 KJ,1.5 g,0 g,12 g,https://www.carrefour.es/supermercado/filetes-de-bacalao-congelados-dimar-400-g/R-521031255/p
Carrefour,Aquarius sabor limón zero azúcar sin calorías lata 33 cl.,0.89,0 g,1 Kcal,5 KJ,0.05 g,0 g,0 g,https://www.carrefour.es/supermercado/aquarius-sabor-limon-zero-azucar-sin-calorias-lata-33-cl/R-590206943/p
Carrefour,Cereales con chocolate negro Special K Kellog's 500 g.,4.99,6.1 g,424 Kcal,1790 KJ,0.64 g,81 g,8.2 g,https://www.carrefour.es/supermercado/cereales-con-chocolate-negro-special-k-kellogs-500-g/R-521003313/p
Carrefour,Aceite de oliva virgen extra Retama garrafa 5 l.,48.40,99.9 g,900 Kcal,3700 KJ,0 g,0 g,0 g,https://www.carrefour.es/supermercado/aceite-de-oliva-virgen-extra-retama-garrafa-5-l/R-prod69322/p
Carrefour,Aceite de oliva virgen extra hojiblanca Dcoop 1 l.,14.89,100 g,900 Kcal,3700 KJ,0 g,0 g,0 g,https://www.carrefour.es/supermercado/aceite-de-oliva-virgen-extra-hojiblanca-dcoop-1-l/R-VC4AECOMM-442661/p
Carrefour,Pan de leche Simpl 8 ud.,1.20,12 g,350 Kcal,1470 KJ,0.98 g,50 g,9.3 g,https://www.carrefour.es/supermercado/pan-de-leche-simpl-8-ud/R-VC4AECOMM-147873/p
Carrefour,Zumo de naranja Simon Life pack de 4 botellas de 20 cl.,1.92,0.1 g,29 Kcal,129 KJ,0.02 g,7 g,0 g,https://www.carrefour.es/supermercado/zumo-de-naranja-simon-life-pack-de-4-botellas-de-20-cl/R-638901796/p
Carrefour,Salsa burger Hellmann's envase 250 ml.,2.49,22 g,250 Kcal,1046 KJ,1.4 g,12 g,1.1 g,https://www.carrefour.es/supermercado/salsa-burger-hellmanns-envase-250-ml/R-649302159/p
Carrefour,Queso feta ecológico Carrefour Bio 180 g.,5.15,25 g,300 Kcal,1244 KJ,1.8 g,2.2 g,17 g,https://www.carrefour.es/supermercado/queso-feta-ecologico-carrefour-bio-180-g/R-prod1120186/p
